id,vict_id,x,y,sobr,tri
0,302,90,42,1.0000,2
1,355,62,62,1.0000,2
2,321,76,76,1.0000,0
3,348,93,93,1.0000,2
4,334,85,90,1.0000,2
5,333,84,91,1.0000,0
6,341,88,81,1.0000,2
7,345,91,82,1.0000,2
8,339,87,81,1.0000,1
9,328,80,87,1.0000,1
10,325,78,91,1.0000,0
11,338,87,77,1.0000,1
12,330,81,76,1.0000,1
13,319,75,93,1.0000,1
14,318,75,77,1.0000,0
15,317,75,76,1.0000,1
16,336,86,75,1.0000,2
17,320,76,74,1.0000,0
18,315,74,83,1.0000,0
19,316,74,84,1.0000,1
20,312,73,86,1.0000,2
21,310,73,79,1.0000,2
22,309,73,76,1.0000,1
23,314,74,73,1.0000,0
24,331,83,71,1.0000,2
25,308,72,77,1.0000,2
26,307,71,86,1.0000,1
27,326,79,71,1.0000,2
28,346,92,77,1.0000,2
29,347,93,70,1.0000,2
30,343,91,70,1.0000,0
31,377,84,68,1.0000,2
32,375,83,68,1.0000,2
33,364,66,66,0.9556,1
34,335,85,92,0.9556,1
35,332,83,82,0.9556,1
36,329,80,89,0.9556,1
37,340,87,90,0.1905,3
38,324,78,84,0.1905,3
39,327,80,76,0.1905,3
40,359,63,63,0.0143,3
41,342,88,88,0.0143,3
42,344,91,81,0.0143,3
43,337,86,87,0.0143,3
44,323,77,87,0.0143,3
45,322,77,85,0.0143,3
46,313,73,88,0.0143,3
47,311,73,85,0.0143,3
48,306,70,75,0.0143,3
