id,vict_id,x,y,sobr,tri
0,205,48,0,1.0000,0
1,204,47,3,1.0000,0
2,206,49,2,1.0000,2
3,211,51,4,1.0000,0
4,207,49,5,1.0000,2
5,231,59,6,1.0000,2
6,233,60,2,1.0000,1
7,232,60,1,1.0000,2
8,236,61,1,1.0000,1
9,238,61,3,1.0000,1
10,242,63,6,1.0000,0
11,240,63,2,1.0000,0
12,241,63,4,1.0000,0
13,244,64,6,1.0000,2
14,300,90,12,1.0000,2
15,295,88,34,1.0000,2
16,299,89,27,1.0000,2
17,93,45,41,0.9556,1
18,220,55,9,0.9556,1
19,290,84,8,0.9556,1
20,298,89,12,0.9556,1
21,293,88,28,0.9556,1
22,294,88,33,0.9556,1
23,297,88,37,0.9556,1
24,252,69,8,0.9130,0
25,256,70,9,0.9130,0
26,301,90,20,0.9130,0
27,235,60,5,0.1905,3
28,100,44,2,0.0143,3
29,213,52,7,0.0143,3
30,214,53,8,0.0143,3
31,237,61,2,0.0143,3
32,234,60,4,0.0143,3
33,239,61,4,0.0143,3
34,243,64,5,0.0143,3
35,296,88,35,0.0143,3
